max_ppmm,mean_ppmm,sum_ppmm,num_plume_pixels,peak_intensity,density_category,peak_intensity_category,size_category,training_category,granule_id,gas_type,max_signal_to_uncertainty,mean_plume_sensitivity,plume_pixel_area,background_std_dev
102815.328125,16700.794921875,143710336.0,8605,57594.7265625,uncategorized,uncategorized,uncategorized,uncategorized,20230204T040649,co2,7.123731027278308,1.0491524107057226,8605.0,14413.61611716026
119149.21875,12649.3955078125,93845864.0,7419,62691.24609375,uncategorized,uncategorized,uncategorized,uncategorized,20230407T050250,co2,11.827716720247853,1.0475973526026172,7419.0,6780.852801627415
30188.9375,7003.21875,1764811.125,252,27139.90625,uncategorized,uncategorized,uncategorized,uncategorized,20240426T065641,co2,3.630705151498851,0.7890450154978131,252.0,6112.9004602255945
25629.099609375,8442.669921875,3410838.5,404,21659.5625,uncategorized,uncategorized,uncategorized,uncategorized,20240426T065641,co2,3.183450404069167,0.7906398569224494,404.0,6262.73162414836
36315.17578125,9197.2119140625,6208118.0,675,31541.16015625,uncategorized,uncategorized,uncategorized,uncategorized,20240426T065641,co2,3.9915366423307206,0.5658084179074676,675.0,6334.360424381465
102842.59375,22247.677734375,17419932.0,783,89606.9140625,uncategorized,uncategorized,uncategorized,uncategorized,20240415T062053,co2,6.802894702855579,1.0461295492195384,783.0,12483.090885197942
187868.078125,30929.189453125,80075672.0,2589,115017.046875,uncategorized,uncategorized,uncategorized,uncategorized,20231020T084227,co2,9.586303932670157,0.8553665464692891,2589.0,15485.24264978884
490511.6875,34175.2890625,171115664.0,5007,111148.5,uncategorized,uncategorized,uncategorized,uncategorized,20230215T063701,co2,18.672706561188097,1.3696767154427043,5007.0,34725.73187722159
176254.796875,21658.484375,112255928.0,5183,73888.0078125,uncategorized,uncategorized,uncategorized,uncategorized,20240426T021522,co2,12.382658714177861,1.2214063592463553,5183.0,19733.215114485618
87930.4453125,15514.2783203125,57139088.0,3683,50416.0390625,uncategorized,uncategorized,uncategorized,uncategorized,20231005T183601,co2,6.7009791965921925,1.0694299092293271,3683.0,10199.356654310372
48079.72265625,11409.146484375,5567663.5,488,33898.84375,uncategorized,uncategorized,uncategorized,uncategorized,20230402T072552,co2,5.1911933580407315,0.9388141865979452,488.0,8470.092017922852
58168.7890625,12253.7353515625,33305652.0,2718,39905.07421875,uncategorized,uncategorized,uncategorized,uncategorized,20230820T114258,co2,5.9736882220795895,1.2249421114163683,2718.0,10019.565969641808
84758.609375,18542.1171875,31447430.0,1696,53740.859375,uncategorized,uncategorized,uncategorized,uncategorized,20231022T035626,co2,4.116376983267959,0.8970550038799081,1696.0,11859.731922013802
67432.34375,25692.802734375,5344103.0,208,67178.09375,uncategorized,uncategorized,uncategorized,uncategorized,20230527T085252,co2,4.54674525572986,0.8082791857707959,208.0,13542.188008263107
23888.63671875,8052.49951171875,716672.4375,89,22644.83203125,uncategorized,uncategorized,uncategorized,uncategorized,20220831T061023,co2,3.094013722227812,1.0195701142375388,89.0,5258.714491201338
119243.7109375,26398.0703125,21567224.0,817,89703.6328125,uncategorized,uncategorized,uncategorized,uncategorized,20240522T095610,co2,5.6253741577491265,0.8831467709459611,817.0,12343.451130888634
132001.609375,23266.189453125,65796784.0,2828,76662.734375,uncategorized,uncategorized,uncategorized,uncategorized,20231006T065545,co2,8.45403833549526,1.3211978266418738,2828.0,13735.597057320652
77925.359375,21346.11328125,23181880.0,1086,65070.7421875,uncategorized,uncategorized,uncategorized,uncategorized,20240407T152744,co2,4.708177149626724,1.1148536233557302,1086.0,16630.33245286423
64157.0859375,15684.9296875,4329040.5,276,44355.5703125,uncategorized,uncategorized,uncategorized,uncategorized,20240423T061407,co2,4.802410881775068,0.9212857389795608,276.0,8358.870454739143
78805.8125,14641.3095703125,6808209.0,465,61162.87890625,uncategorized,uncategorized,uncategorized,uncategorized,20240423T061407,co2,6.62874401282968,0.996183773458645,465.0,8314.910489113874
113933.484375,27550.208984375,10854782.0,394,106986.28125,uncategorized,uncategorized,uncategorized,uncategorized,20240420T035500,co2,9.99472438279725,1.272873993754992,394.0,13564.352755284433
125276.53125,26196.087890625,11264318.0,430,103443.609375,uncategorized,uncategorized,uncategorized,uncategorized,20220818T070041,co2,7.804676133808543,1.1296457227579384,430.0,13892.480611767725
176320.84375,28474.81640625,42655276.0,1498,119316.09375,uncategorized,uncategorized,uncategorized,uncategorized,20220818T070041,co2,8.139699163121781,1.1205071772091857,1498.0,18081.278044161354
163791.1875,28584.3984375,20123416.0,704,147185.359375,uncategorized,uncategorized,uncategorized,uncategorized,20220818T070041,co2,13.69475465325,1.91205481977456,704.0,18228.21708248522
224607.046875,21468.638671875,159812544.0,7444,114165.8828125,uncategorized,uncategorized,uncategorized,uncategorized,20231020T052915,co2,11.992926624789986,1.0459275415656646,7444.0,11552.713713478233
157230.90625,19711.97265625,355978528.0,18059,89088.9375,uncategorized,uncategorized,uncategorized,uncategorized,20231020T052915,co2,8.751019904409409,1.0415268112730034,18059.0,11318.269916750547
136847.046875,18835.80078125,104595200.0,5553,68124.0,uncategorized,uncategorized,uncategorized,uncategorized,20231020T052915,co2,8.497974860237795,1.08162950233159,5553.0,11808.229864360868
81913.7890625,14049.41015625,25429432.0,1810,43711.70703125,uncategorized,uncategorized,uncategorized,uncategorized,20231007T044001,co2,6.082922225866734,0.9917194632206174,1810.0,10475.475760123649
123842.6015625,15810.0439453125,99745568.0,6309,54516.0078125,uncategorized,uncategorized,uncategorized,uncategorized,20231007T044001,co2,7.457838089031238,1.0398261954845236,6309.0,10457.796902774582
126432.125,29796.51953125,24671518.0,828,104383.0390625,uncategorized,uncategorized,uncategorized,uncategorized,20231007T044001,co2,8.56637732608384,0.8882610540891039,828.0,10621.925370671714
149096.75,14141.9150390625,536162432.0,37913,44651.0859375,uncategorized,uncategorized,uncategorized,uncategorized,20220815T025827,co2,7.195847258137978,1.0430773655854417,37913.0,11887.22839497655
117673.1171875,13032.419921875,185386176.0,14225,55674.73046875,uncategorized,uncategorized,uncategorized,uncategorized,20220815T025827,co2,8.141171687831948,0.9274073088787143,14225.0,12213.311922596307
100095.5,15213.3271484375,7256757.0,477,57483.02734375,uncategorized,uncategorized,uncategorized,uncategorized,20230625T044509,co2,9.188228272419895,1.2326014166233175,477.0,10765.927587079988
180569.625,21478.10546875,48153912.0,2242,79269.34375,uncategorized,uncategorized,uncategorized,uncategorized,20240331T052940,co2,9.512906504870223,1.092546035252332,2242.0,15033.127538569834
59377.64453125,14825.0400390625,19776604.0,1334,47621.40625,uncategorized,uncategorized,uncategorized,uncategorized,20230810T051627,co2,5.246743712126755,1.2291113332561825,1334.0,12068.152320467312
140279.1875,24885.3671875,10501625.0,422,123113.5859375,uncategorized,uncategorized,uncategorized,uncategorized,20230204T053619,co2,6.446627220167081,1.1441431568132192,422.0,20288.635618578348
47840.92578125,12372.5439453125,1596058.125,129,47081.63671875,uncategorized,uncategorized,uncategorized,uncategorized,20240404T065902,co2,3.9618654409865393,1.1585409585819688,129.0,7995.095884005066
63581.015625,13357.9169921875,45443632.0,3402,46336.53125,uncategorized,uncategorized,uncategorized,uncategorized,20230204T054104,co2,4.343180616686252,1.092006404879232,3402.0,11920.09015042093
55032.6796875,9932.6044921875,40326376.0,4060,37076.6640625,uncategorized,uncategorized,uncategorized,uncategorized,20230204T054104,co2,4.6668534397481665,0.8657456862148393,4060.0,8419.017182071988
120568.75,14469.7734375,457288256.0,31603,49904.2578125,uncategorized,uncategorized,uncategorized,uncategorized,20230204T054104,co2,8.035676512576376,1.1220148487909305,31603.0,11182.448151406848
136944.609375,25081.267578125,107247504.0,4276,83595.28125,uncategorized,uncategorized,uncategorized,uncategorized,20220909T070306,co2,6.904239047167098,0.8221990213920236,4276.0,15716.55080552356
123379.6953125,21319.146484375,64469100.0,3024,72561.7890625,uncategorized,uncategorized,uncategorized,uncategorized,20220909T070306,co2,7.2623094561893895,0.7790095225153935,3024.0,16248.293688636231
158935.6875,32095.873046875,19097044.0,595,108652.8125,uncategorized,uncategorized,uncategorized,uncategorized,20220909T070306,co2,6.582022662357742,0.6824252696097398,595.0,17775.567694588004
200417.84375,18653.10546875,263456464.0,14124,59959.53125,uncategorized,uncategorized,uncategorized,uncategorized,20220909T070306,co2,7.374042340082444,0.9503771404094026,14124.0,14540.28184902094
